index,brand,gender,size,title,category,size_detail
20,Uniqlo,female,"[""XL"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",AIRism캐미솔16SS,AIRism,"[{""가슴너비"": ""32"", ""전체길이A"": ""55""}, {""가슴너비"": ""34"", ""전체길이A"": ""55""}, {""가슴너비"": ""36"", ""전체길이A"": ""57.5""}, {""가슴너비"": ""38"", ""전체길이A"": ""59.5""}, {""가슴너비"": ""40"", ""전체길이A"": ""61.5""}, {""가슴너비"": ""42"", ""전체길이A"": ""63.5""}, {""가슴너비"": ""44"", ""전체길이A"": ""65.5""}]"
21,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",SUPIMA COTTON크루넥T(반팔)16SS,티셔츠,"[{""가슴너비"": ""44.5"", ""어깨길이"": ""40"", ""전체길이A"": ""63"", ""소매길이"": ""18.5""}, {""가슴너비"": ""47.5"", ""어깨길이"": ""41.5"", ""전체길이A"": ""65"", ""소매길이"": ""19""}, {""가슴너비"": ""50.5"", ""어깨길이"": ""43"", ""전체길이A"": ""68"", ""소매길이"": ""20.5""}, {""가슴너비"": ""53.5"", ""어깨길이"": ""44.5"", ""전체길이A"": ""71"", ""소매길이"": ""21.5""}, {""가슴너비"": ""57.5"", ""어깨길이"": ""46.5"", ""전체길이A"": ""74"", ""소매길이"": ""22.5""}, {""가슴너비"": ""61.5"", ""어깨길이"": ""48.5"", ""전체길이A"": ""76"", ""소매길이"": ""22.5""}, {""가슴너비"": ""65.5"", ""어깨길이"": ""50.5"", ""전체길이A"": ""76"", ""소매길이"": ""22.5""}]"
22,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",워쉬스트라이프크루넥T(긴팔),티셔츠(긴팔·7부),"[{""가슴너비"": ""45.5"", ""어깨길이"": ""40.5""}, {""가슴너비"": ""48.5"", ""어깨길이"": ""42""}, {""가슴너비"": ""51.5"", ""어깨길이"": ""43.5""}, {""가슴너비"": ""54.5"", ""어깨길이"": ""45""}, {""가슴너비"": ""58.5"", ""어깨길이"": ""47""}, {""가슴너비"": ""62.5"", ""어깨길이"": ""49""}, {""가슴너비"": ""66.5"", ""어깨길이"": ""51""}]"
23,Uniqlo,female,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",레이온스탠드칼라블라우스(7부),셔츠·블라우스,"[{""가슴너비"": ""49.5"", ""전체팔길이"": ""60.5"", ""어깨너비"": ""38"", ""전체길이B"": ""67""}, {""가슴너비"": ""51.5"", ""전체팔길이"": ""62"", ""어깨너비"": ""39"", ""전체길이B"": ""69""}, {""가슴너비"": ""53.5"", ""전체팔길이"": ""63.5"", ""어깨너비"": ""40"", ""전체길이B"": ""71""}, {""가슴너비"": ""56.5"", ""전체팔길이"": ""65"", ""어깨너비"": ""41.5"", ""전체길이B"": ""73""}, {""가슴너비"": ""59.5"", ""전체팔길이"": ""66.5"", ""어깨너비"": ""43"", ""전체길이B"": ""75""}, {""가슴너비"": ""62.5"", ""전체팔길이"": ""67"", ""어깨너비"": ""44"", ""전체길이B"": ""76""}, {""가슴너비"": ""65.5"", ""전체팔길이"": ""67.5"", ""어깨너비"": ""45"", ""전체길이B"": ""77""}]"
24,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""3XL""]",후리스풀짚재킷(긴팔)16FW,후리스,"[{""가슴너비"": ""47.5"", ""어깨너비"": ""42""}, {""가슴너비"": ""50.5"", ""어깨너비"": ""43.5""}, {""가슴너비"": ""53.5"", ""어깨너비"": ""45""}, {""가슴너비"": ""56.5"", ""어깨너비"": ""46.5""}, {""가슴너비"": ""60.5"", ""어깨너비"": ""48.5""}, {""가슴너비"": ""64.5"", ""어깨너비"": ""50.5""}, {""가슴너비"": ""68.5"", ""어깨너비"": ""52.5""}]"
25,Uniqlo,female,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",레이온블라우스(긴팔)16FW,셔츠·블라우스,"[{""가슴너비"": ""49"", ""전체팔길이"": ""73"", ""어깨길이"": ""39.5"", ""전체길이B"": ""66""}, {""가슴너비"": ""51"", ""전체팔길이"": ""74.5"", ""어깨길이"": ""40.5"", ""전체길이B"": ""68""}, {""가슴너비"": ""53"", ""전체팔길이"": ""76"", ""어깨길이"": ""41.5"", ""전체길이B"": ""70""}, {""가슴너비"": ""56"", ""전체팔길이"": ""77.5"", ""어깨길이"": ""43"", ""전체길이B"": ""72""}, {""가슴너비"": ""59"", ""전체팔길이"": ""79"", ""어깨길이"": ""44.5"", ""전체길이B"": ""74""}, {""가슴너비"": ""62"", ""전체팔길이"": ""79.5"", ""어깨길이"": ""45.5"", ""전체길이B"": ""75""}, {""가슴너비"": ""65"", ""전체팔길이"": ""80"", ""어깨길이"": ""46.5"", ""전체길이B"": ""76""}]"
26,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",워쉬보트넥T(긴팔),티셔츠(긴팔·7부),"[{""가슴너비"": ""45.5"", ""어깨너비"": ""40.5""}, {""가슴너비"": ""48.5"", ""어깨너비"": ""42""}, {""가슴너비"": ""51.5"", ""어깨너비"": ""43.5""}, {""가슴너비"": ""54.5"", ""어깨너비"": ""45""}, {""가슴너비"": ""58.5"", ""어깨너비"": ""47""}, {""가슴너비"": ""62.5"", ""어깨너비"": ""49""}, {""가슴너비"": ""66.5"", ""어깨너비"": ""51""}]"
27,Uniqlo,female,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",울트라라이트다운컴팩트베스트16FW,울트라라이트다운,"[{""가슴너비"": ""40.5"", ""전체길이B"": ""51""}, {""가슴너비"": ""42.5"", ""전체길이B"": ""53""}, {""가슴너비"": ""44.5"", ""전체길이B"": ""55""}, {""가슴너비"": ""47.5"", ""전체길이B"": ""57""}, {""가슴너비"": ""50.5"", ""전체길이B"": ""59""}, {""가슴너비"": ""53.5"", ""전체길이B"": ""60""}, {""가슴너비"": ""56.5"", ""전체길이B"": ""61""}]"
28,Uniqlo,male,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL"", ""XXXL""]",워쉬스트라이프보트넥T(긴팔),티셔츠(긴팔·7부),"[{""가슴너비"": ""45.5"", ""어깨길이"": ""40.5""}, {""가슴너비"": ""48.5"", ""어깨길이"": ""42""}, {""가슴너비"": ""51.5"", ""어깨길이"": ""43.5""}, {""가슴너비"": ""54.5"", ""어깨길이"": ""45""}, {""가슴너비"": ""58.5"", ""어깨길이"": ""47""}, {""가슴너비"": ""62.5"", ""어깨길이"": ""49""}, {""가슴너비"": ""66.5"", ""어깨길이"": ""51""}]"
29,Uniqlo,male,"[""70"", ""73"", ""76"", ""79"", ""82"", ""85"", ""88"", ""91"", ""95"", ""100""]",슬림피트노턱치노16FW,롱팬츠,"[{""엉덩이둘레"": ""86.5"", ""허벅지둘레"": ""28""}, {""엉덩이둘레"": ""89.5"", ""허벅지둘레"": ""29""}, {""엉덩이둘레"": ""92.5"", ""허벅지둘레"": ""30""}, {""엉덩이둘레"": ""95.5"", ""허벅지둘레"": ""31""}, {""엉덩이둘레"": ""98.5"", ""허벅지둘레"": ""32""}, {""엉덩이둘레"": ""101.5"", ""허벅지둘레"": ""33""}, {""엉덩이둘레"": ""104.5"", ""허벅지둘레"": ""34""}, {""엉덩이둘레"": ""107.5"", ""허벅지둘레"": ""35""}, {""엉덩이둘레"": ""111.5"", ""허벅지둘레"": ""36.5""}, {""엉덩이둘레"": ""116.5"", ""허벅지둘레"": ""38.5""}]"
